step,reward,reward_std,completion_length
1,0.08502,0.09581,489.0
2,0.13807,0.13754,219.0
3,0.12279,0.1383,217.0
4,0.05122,0.10087,63.0
5,0.13444,0.1487,192.0
6,0.13803,0.15114,94.0
7,0.19151,0.15329,59.0
8,0.20595,0.16063,620.0
9,0.21197,0.17703,147.0
10,0.16624,0.15967,386.0
11,0.19742,0.15799,620.0
12,0.24144,0.14856,105.0
13,0.26328,0.13264,35.0
14,0.27438,0.16968,450.0
15,0.25798,0.15243,104.0
16,0.28794,0.13515,85.0
17,0.28425,0.1348,102.0
18,0.27621,0.12216,64.0
19,0.34112,0.14337,166.0
20,0.3244,0.13418,70.0
21,0.29663,0.11276,46.0
22,0.28669,0.13572,36.0
23,0.34126,0.13245,316.0
24,0.35097,0.11969,38.0
25,0.31895,0.11524,51.0
26,0.30296,0.13197,32.0
27,0.38205,0.13163,64.0
28,0.37009,0.12445,32.0
29,0.39046,0.12524,620.0
30,0.35923,0.12389,67.0
31,0.39496,0.12289,64.0
32,0.38066,0.11233,32.0
33,0.37493,0.129,32.0
34,0.34819,0.11741,73.0
35,0.39169,0.10879,32.0
36,0.40172,0.10633,48.0
37,0.41991,0.10634,44.0
38,0.45669,0.10829,38.0
39,0.40222,0.09379,42.0
40,0.42302,0.11316,317.0
41,0.45109,0.09892,76.0
42,0.43427,0.0949,32.0
43,0.44959,0.08767,32.0
44,0.48813,0.07701,38.0
45,0.47174,0.09594,80.0
46,0.48267,0.07589,114.0
47,0.48465,0.07517,54.0
48,0.48955,0.05836,38.0
49,0.52016,0.08427,34.0
50,0.4664,0.07802,83.0
51,0.48606,0.07006,50.0
52,0.47425,0.06055,32.0
53,0.50531,0.07089,47.0
54,0.44992,0.07749,34.0
55,0.47757,0.07129,92.0
56,0.48428,0.06259,32.0
57,0.46898,0.04673,38.0
58,0.47524,0.08094,34.0
59,0.45249,0.07607,68.0
60,0.50493,0.04919,32.0
61,0.47858,0.06882,49.0
62,0.51192,0.07646,341.0
63,0.50713,0.05823,32.0
64,0.46038,0.06371,58.0
65,0.45586,0.06228,32.0
66,0.4468,0.06805,32.0
67,0.48495,0.06328,41.0
68,0.50891,0.05457,32.0
69,0.49015,0.07395,32.0
70,0.53798,0.06933,100.0
71,0.45506,0.06556,45.0
72,0.50439,0.06286,32.0
73,0.47472,0.06837,167.0
74,0.55047,0.06811,32.0
75,0.49403,0.06872,427.0
76,0.5146,0.06534,33.0
77,0.47549,0.0543,32.0
78,0.49307,0.06196,32.0
79,0.45483,0.0687,32.0
80,0.51379,0.06957,32.0
81,0.47988,0.07058,32.0
82,0.48296,0.05783,32.0
83,0.49967,0.06729,264.0
84,0.51636,0.06189,32.0
85,0.52728,0.06188,32.0
86,0.50402,0.07134,41.0
87,0.51196,0.07083,32.0
88,0.53042,0.08105,32.0
89,0.49865,0.08451,177.0
90,0.53609,0.07302,32.0
91,0.51387,0.07161,32.0
92,0.51123,0.06017,32.0
93,0.51504,0.07072,32.0
94,0.48296,0.07549,32.0
95,0.50088,0.0748,32.0
96,0.54843,0.07474,32.0
97,0.48735,0.06188,32.0
98,0.51987,0.07097,32.0
99,0.49644,0.0728,158.0
100,0.53286,0.07883,32.0
