step,reward,reward_std,kl,loss,grad_norm,completion_length,mean_length,num_tokens,std,frac_reward_zero_std,learning_rate
1,0.08502,0.09581,5.05706,0.0051,16.4876,489.0,33.08594,22291.0,0.16108,0.0,1e-05
2,0.13807,0.13754,0.00429,0.0,4.71928,219.0,30.40625,44215.0,0.19389,0.125,1e-05
3,0.12279,0.1383,0.01725,0.0,3.62656,217.0,29.28125,66003.0,0.18354,0.0625,1e-05
4,0.05122,0.10087,0.00248,0.0,0.72045,63.0,26.36719,87466.0,0.12922,0.25,1e-05
5,0.13444,0.1487,0.05634,0.0001,1.19931,192.0,30.89844,109493.0,0.21139,0.0625,1e-05
6,0.13803,0.15114,0.00331,0.0,0.71569,94.0,27.55469,130884.0,0.18025,0.0,1e-05
7,0.19151,0.15329,0.00846,0.0,1.19264,59.0,29.57812,152806.0,0.19673,0.0,1e-05
8,0.20595,0.16063,0.85348,0.0009,3.07131,620.0,36.42188,175620.0,0.19849,0.0,1e-05
9,0.21197,0.17703,0.00975,0.0,0.41941,147.0,31.48438,197762.0,0.22599,0.0,1e-05
10,0.16624,0.15967,0.36569,0.0004,5.98312,386.0,32.1875,219786.0,0.17207,0.0,1e-05
11,0.19742,0.15799,1.02567,0.001,2.53611,620.0,36.09375,241826.0,0.18021,0.0,1e-05
12,0.24144,0.14856,0.03297,0.0,0.52502,105.0,31.54688,263872.0,0.20706,0.0,1e-05
13,0.26328,0.13264,0.06249,0.0001,1.98387,35.0,30.99219,285943.0,0.16188,0.0,1e-05
14,0.27438,0.16968,0.59946,0.0006,3.87864,450.0,36.28125,308747.0,0.19168,0.0,1e-05
15,0.25798,0.15243,0.07069,0.0001,0.52552,104.0,31.85938,330905.0,0.17282,0.0,1e-05
16,0.28794,0.13515,0.06499,0.0001,0.44827,85.0,32.4375,353041.0,0.18581,0.0,1e-05
17,0.28425,0.1348,0.06503,0.0001,0.29041,102.0,32.64062,375299.0,0.14884,0.0,1e-05
18,0.27621,0.12216,0.08655,0.0001,0.36491,64.0,32.25,397419.0,0.15696,0.0,1e-05
19,0.34112,0.14337,0.11279,0.0001,0.5032,166.0,34.83594,419942.0,0.18278,0.0,1e-05
20,0.3244,0.13418,0.10201,0.0001,0.36876,70.0,32.10156,442131.0,0.17703,0.0,1e-05
21,0.29663,0.11276,0.13456,0.0001,0.5597,46.0,32.03125,464239.0,0.13117,0.0,1e-05
22,0.28669,0.13572,0.24623,0.0002,0.49113,36.0,31.90625,486395.0,0.17358,0.0,1e-05
23,0.34126,0.13245,0.13096,0.0001,0.21237,316.0,34.05469,508898.0,0.1875,0.0,1e-05
24,0.35097,0.11969,0.32405,0.0003,0.44973,38.0,31.92969,531049.0,0.19212,0.0,1e-05
25,0.31895,0.11524,0.262,0.0003,0.33637,51.0,32.13281,553154.0,0.14801,0.0,1e-05
26,0.30296,0.13197,0.05771,0.0001,0.87509,32.0,31.875,575290.0,0.16878,0.0,1e-05
27,0.38205,0.13163,0.23966,0.0002,0.32662,64.0,32.28906,597455.0,0.1462,0.0,1e-05
28,0.37009,0.12445,0.03748,0.0,0.43031,32.0,32.0,619527.0,0.17268,0.0,1e-05
