problem_id,budget,expected,predicted,correct,thinking_tokens_used,forced,latency_s
garden,40,116,2,0,40,1,5.51
garden,100,116,150,0,100,1,4.31
garden,200,116,2,0,200,1,6.83
garden,400,116,1,0,400,1,12.05
garden,none,116,10,0,2048,0,52.62
tank,40,330,60,0,40,1,2.8
tank,100,330,50,0,100,1,4.3
tank,200,330,60,0,200,0,5.17
tank,400,330,330,1,371,0,10.95
tank,none,330,330,1,371,0,9.78
train,40,70,70,1,40,1,2.7
train,100,70,70,1,100,1,4.24
train,200,70,210,0,200,0,5.4
train,400,70,70,1,322,0,8.5
train,none,70,70,1,322,0,8.29
profit,40,130,3,0,40,1,2.61
profit,100,130,12,0,100,1,4.22
profit,200,130,2,0,200,0,5.18
profit,400,130,130,1,399,0,10.28
profit,none,130,130,1,399,0,10.42
fuel,40,20,250,0,40,1,2.69
fuel,100,20,25,0,100,1,4.34
fuel,200,20,0,0,200,0,5.23
fuel,400,20,20,1,304,0,7.93
fuel,none,20,20,1,304,0,7.91
change,40,4,3,0,40,1,2.68
change,100,4,4,1,100,1,4.23
change,200,4,12,0,200,0,5.1
change,400,4,4,1,330,0,8.27
change,none,4,4,1,330,0,8.54
