problem_id,effort,model,expected,predicted,correct,reasoning_chars,completion_tokens,total_tokens,latency_s
mult,off,nvidia/llama-3.3-nemotron-super-49b-v1,1081,1081,1,0,3,36,0.746
mult,on,nvidia/llama-3.3-nemotron-super-49b-v1,1081,1081,1,1268,405,438,65.887
sheep,off,nvidia/llama-3.3-nemotron-super-49b-v1,9,9,1,0,2,46,0.414
sheep,on,nvidia/llama-3.3-nemotron-super-49b-v1,9,9,1,1042,304,348,17.474
percent,off,nvidia/llama-3.3-nemotron-super-49b-v1,36,36,1,0,2,36,0.466
percent,on,nvidia/llama-3.3-nemotron-super-49b-v1,36,36,1,1158,361,395,20.132
discount,off,nvidia/llama-3.3-nemotron-super-49b-v1,50,50,1,0,2,47,0.408
discount,on,nvidia/llama-3.3-nemotron-super-49b-v1,50,50,1,1477,484,529,21.915
even_sum,off,nvidia/llama-3.3-nemotron-super-49b-v1,110,110,1,0,2,40,0.361
even_sum,on,nvidia/llama-3.3-nemotron-super-49b-v1,110,110,1,1479,510,548,21.887
perimeter,off,nvidia/llama-3.3-nemotron-super-49b-v1,40,40,1,0,2,41,0.449
perimeter,on,nvidia/llama-3.3-nemotron-super-49b-v1,40,40,1,960,276,315,11.308
minutes,off,nvidia/llama-3.3-nemotron-super-49b-v1,210,210,1,0,2,38,0.414
minutes,on,nvidia/llama-3.3-nemotron-super-49b-v1,210,210,1,1043,335,371,25.285
algebra,off,nvidia/llama-3.3-nemotron-super-49b-v1,8,6,0,0,2,46,22.579
algebra,on,nvidia/llama-3.3-nemotron-super-49b-v1,8,8,1,940,297,341,56.441
chain,off,nvidia/llama-3.3-nemotron-super-49b-v1,60,60,1,0,2,42,0.442
chain,on,nvidia/llama-3.3-nemotron-super-49b-v1,60,60,1,1160,398,438,13.419
fraction,off,nvidia/llama-3.3-nemotron-super-49b-v1,15,18,0,0,2,47,6.139
fraction,on,nvidia/llama-3.3-nemotron-super-49b-v1,15,15,1,1097,346,391,12.811
